Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
1,19,3,9,FinTech,Bangalore,665504,1253409,Yes,High,5000000
2,15,10,2,FinTech,Hyderabad,370346,1473888,Yes,High,5000000
3,6,5,1,FinTech,Kolkata,1080122,362068,No,Low,500000
4,20,13,10,AI,Bangalore,413637,2045056,Yes,High,5000000
5,4,6,9,FinTech,Bangalore,1407287,2380083,Yes,High,5000000
6,2,3,9,AgriTech,Kolkata,1565113,1031461,No,Low,500000
7,9,14,5,FinTech,Kolkata,1900318,1402664,No,Low,500000
8,14,13,6,CleanTech,Pune,699766,376011,No,Low,500000
9,6,12,8,AgriTech,Delhi,635642,873551,Yes,High,5000000
10,2,9,9,AI,Delhi,613049,23359,No,Low,500000
11,4,12,7,EdTech,Pune,428786,1342801,Yes,High,5000000
12,15,3,8,AI,Delhi,206413,1451910,Yes,High,5000000
13,10,11,3,CleanTech,Kolkata,198836,1827495,Yes,High,5000000
14,5,0,5,E-Commerce,Delhi,821442,1927186,Yes,High,5000000
15,14,7,3,E-Commerce,Chennai,1802164,103352,No,Low,500000
16,2,12,6,EdTech,Chennai,1172386,2027061,Yes,High,5000000
17,5,13,3,CleanTech,Hyderabad,113870,786685,Yes,High,5000000
18,20,13,2,AgriTech,Kolkata,589878,2418490,Yes,High,5000000
19,17,7,10,CleanTech,Bangalore,671676,1198252,Yes,High,5000000
20,2,9,7,FinTech,Chennai,698653,1708787,Yes,High,5000000
21,9,14,8,AI,Bangalore,1479895,2387277,Yes,High,5000000
22,20,6,8,AI,Bangalore,1165492,164085,No,Low,500000
23,17,13,1,AgriTech,Delhi,314517,2252171,Yes,High,5000000
24,8,4,4,FinTech,Pune,481332,2481089,Yes,High,5000000
25,17,2,9,EdTech,Chennai,1048901,339655,No,Low,500000
26,6,1,2,HealthTech,Hyderabad,59395,1228311,Yes,High,5000000
27,4,10,3,HealthTech,Delhi,530451,2171553,Yes,High,5000000
28,5,2,1,FinTech,Bangalore,905409,2030961,Yes,High,5000000
29,18,1,4,AgriTech,Kolkata,515405,1722653,Yes,High,5000000
30,13,12,3,FinTech,Kolkata,1547022,2051362,Yes,High,5000000
31,20,13,10,AI,Mumbai,1491971,1143460,No,Low,500000
32,9,8,1,CleanTech,Delhi,684903,1653877,Yes,High,5000000
33,5,11,4,HealthTech,Mumbai,1880710,428512,No,Low,500000
34,10,12,10,EdTech,Delhi,242980,1036838,Yes,High,5000000
35,15,15,4,AgriTech,Pune,1279642,718662,No,Low,500000
36,14,8,10,EdTech,Bangalore,1624568,1277575,No,Low,500000
37,16,2,1,AI,Bangalore,930664,1036109,Yes,High,5000000
38,19,7,3,FinTech,Delhi,84175,899181,Yes,High,5000000
39,2,9,6,AgriTech,Hyderabad,1562945,1056337,No,Low,500000
40,12,0,5,AgriTech,Mumbai,1761197,2471339,Yes,High,5000000
41,19,4,4,CleanTech,Chennai,757492,648653,No,Low,500000
42,5,14,10,AgriTech,Delhi,368442,1599619,Yes,High,5000000
43,7,8,4,AI,Delhi,724858,1263223,Yes,High,5000000
44,13,11,2,HealthTech,Pune,674842,2272145,Yes,High,5000000
45,2,9,9,AI,Mumbai,1571813,584088,No,Low,500000
46,18,11,3,CleanTech,Kolkata,1331498,158886,No,Low,500000
47,18,0,3,AgriTech,Bangalore,1311118,1794275,Yes,High,5000000
48,6,3,6,E-Commerce,Kolkata,1499031,876867,No,Low,500000
